0,37,60
38,43,70
44,74,140
75,103,140
104,119,40
120,141,130
142,161,140
162,177,130
178,191,40
192,219,20
220,220,20
221,232,80
233,236,140
237,265,70
266,289,90
290,322,140
323,331,40
332,366,80
367,367,130
368,388,70
389,412,140
413,432,70
433,464,60
465,478,90
479,509,130
510,541,70
542,581,80
582,612,140
613,628,140
629,646,40
647,651,90
652,652,140
653,690,130
691,697,70
698,709,130
710,738,140
739,747,40
748,752,20
753,772,90
773,786,20
787,819,80
820,839,140
840,879,20
880,890,140
891,898,70
899,931,130
932,956,40
957,987,20
988,990,60
991,993,80
994,995,20
996,1026,140
1027,1039,90
1040,1077,60
1078,1109,70
1110,1148,20
1149,1183,140
1184,1202,80
1203,1232,20
1233,1243,130
1244,1264,90
1265,1274,80
1275,1277,130
1278,1279,140
1280,1281,70
1282,1316,40
1317,1344,140
1345,1366,20
1367,1388,130
1389,1391,140
1392,1399,20
1400,1400,70
1401,1415,60
1416,1436,20
1437,1467,40
1468,1485,140
1486,1490,80
1491,1499,70
1500,1539,90
1540,1562,20
1563,1590,60
1591,1615,70
1616,1634,60
1635,1655,90
1656,1678,90
1679,1709,60
1710,1746,40
1747,1781,130
1782,1793,40
1794,1828,80
1829,1845,70
1846,1851,130
1852,1881,70
1882,1915,140
1916,1936,60
1937,1974,20
1975,1979,20
1980,1996,60
1997,2002,60
2003,2004,20
